customer_id,customer_name,customer_email,address,total_customer_balance
1,Jabberstorm,owillans0@drupal.org,82.46.80.166,3305189
2,Jabberstorm2,kduligall1@studiopress.com,71.179.143.95,3280968
3,Oba,sallnutt2@smugmug.com,167.105.184.86,2364633
4,Jetpulse,brosendale3@squidoo.com,41.165.28.164,3731872
5,Vipe,rcawker4@stumbleupon.com,13.238.195.127,3657741
6,Skalith,edakers5@hp.com,16.43.201.184,3830385
7,Meezzy,bruske6@hexun.com,244.32.178.133,3503016
8,Cogidoo,nrendell7@list-manage.com,88.38.131.171,2145383
9,Yadel,mmaclennan8@china.com.cn,252.184.90.127,2302755
10,Livetube,rwelldrake9@ucoz.com,228.245.195.94,1647504
11,BlogXS,ablanpeina@bandcamp.com,241.57.42.187,3070804
12,Shuffledrive,ntenniswoodb@marketwatch.com,167.10.212.50,1468385
13,Tagopia,vbrawleyc@mozilla.org,173.145.30.1,1838378
14,Browsetype,nackensond@exblog.jp,106.161.192.246,2588370
15,Riffpath,hsimonassie@goodreads.com,223.165.217.185,651263
16,Realpoint,wpostancef@dyndns.org,93.184.104.95,1815697
17,Livepath,jportwaing@wufoo.com,58.227.185.89,2276981
18,Skajo,gnordassh@dell.com,165.52.75.85,1720893
19,Devify,bvlasenkovi@jugem.jp,108.247.153.194,1828513
20,Devshare,hscusej@wikipedia.org,37.142.145.4,3038745
21,Snaptags,sschooleyk@shareasale.com,36.2.251.246,4438207
22,Geba,vbowelll@artisteer.com,23.250.174.4,403677
23,Realblab,dwellingsm@opensource.org,41.215.253.75,1673704
24,Zooxo,cchallissn@go.com,64.252.167.16,3472807
25,Yamia,lgressero@theglobeandmail.com,65.75.20.92,2656020
26,Dynazzy,mhandscombep@msn.com,114.67.72.206,5201622
27,Feedfish,cbentonq@zdnet.com,221.50.89.93,1492940
28,Topiczoom,gmartynr@yelp.com,178.51.226.182,4782121
29,Dynava,mbogaerts@xrea.com,227.90.204.188,3364706
30,Trupe,crobertsont@springer.com,229.112.112.58,2724749
31,Voomm,mhartfieldu@apache.org,33.86.53.13,1955207
32,Roodel,twhyardv@google.co.jp,33.154.17.164,5898616
33,Voolia,mscathardw@quantcast.com,175.191.90.216,3350109
34,Topicstorm,jstallworthx@icio.us,18.240.162.71,1687269
35,Flashdog,rtobiny@abc.net.au,169.217.254.49,1240214
36,Yodoo,abuzinez@stumbleupon.com,30.185.244.82,1181722
37,Dabshots,rpinkard10@youtube.com,212.161.45.143,4482934
38,Zoomcast,cbreissan11@qq.com,171.200.162.177,3110826
39,Ntag,gsancroft12@mediafire.com,148.197.165.248,4168984
40,Camimbo,daslie13@cafepress.com,88.72.23.230,2681151
41,Eimbee,gmacandie14@guardian.co.uk,146.45.49.177,3620473
42,Skimia,sbartram15@tmall.com,250.216.4.240,2988560
43,Yoveo,apenlington16@umn.edu,99.80.221.236,2357883
44,Tavu,etrayford17@jimdo.com,210.49.185.116,1213545
45,Trilia,srioch18@seattletimes.com,79.174.220.84,4709710
46,Katz,atainton19@mapquest.com,112.255.87.163,3425323
47,Yozio,pguyonnet1a@state.tx.us,58.164.189.222,5681382
48,Meembee,tsummersby1b@ehow.com,203.133.111.177,1973324
49,Jaloo,bhales1c@rakuten.co.jp,127.68.253.188,2520993
50,Ntag,asawtell1d@upenn.edu,218.179.43.199,4114070
51,Yozio,mtremethack1e@cyberchimps.com,113.45.168.246,1062883
52,Tagopia,jautin1f@opensource.org,141.135.14.22,1955353
53,Vitz,abletsoe1g@whitehouse.gov,97.243.191.96,3619106
54,Skinder,gsloy1h@cargocollective.com,60.47.108.155,3534263
55,Oyoyo,truffles1i@simplemachines.org,69.180.196.71,997445
56,Jaxworks,jgough1j@naver.com,244.35.79.194,2940310
