accountid,customer,date_opened,interest_rate,last_transaction_date,transaction_amount
9220657095,11,8/7/2001,2.72,7/24/2008,149.95
9128062049,119,12/8/2006,8.27,5/9/2017,8631.02
1016380594,156,7/11/2016,0.35,9/20/2019,4746.37
5703097347,58,12/10/2003,2.11,12/6/2015,2248.23
2111016842,164,3/29/2006,3.99,11/10/2011,5633.65
9037401260,102,1/28/2005,0.13,4/28/2015,5257.01
8815752512,177,8/31/2009,1.32,2/2/2008,3923.05
3034212373,155,10/25/2012,4.33,1/1/2017,5964.71
6601488436,6,3/14/2003,7.92,9/12/2003,3128.83
7172020692,168,2/12/2021,7.64,2/9/2010,5586.24
3356151641,87,7/31/2016,8.16,2/3/2017,2710.03
3312585588,168,11/9/2011,5.01,8/2/2007,4627.14
3480720729,190,9/21/2007,0.18,3/14/2003,4634.24
8920923397,53,9/27/2005,6.36,6/20/2022,7716.3
8052943431,9,8/17/2012,8.44,12/25/2012,5705.8
8299156700,20,4/6/2022,1.72,3/10/2018,767.1
7069710450,23,3/11/2018,4.92,3/26/2000,8101.6
2401069608,32,1/1/2017,9.49,5/30/2022,4241.91
7900007956,102,6/12/2020,7.05,6/23/2019,6881.35
2366588678,20,6/17/2020,9.06,12/19/2013,6884.69
9342817337,193,7/11/2016,0.17,10/11/2018,5341.68
8328976508,28,7/7/2003,0.58,11/28/2020,5661.77
2965602555,82,2/18/2002,6.56,7/7/2021,7864.91
6852664031,5,11/23/2016,8.18,12/28/2004,9232.34
6344063160,177,1/5/2019,8.46,3/29/2012,772.45
7488324245,131,2/28/2015,8.41,7/24/2017,1538.95
9220105159,53,9/13/2020,7.42,12/25/2004,5390.89
8383470080,157,7/30/2017,4.38,10/8/2021,9939.5
3874909039,68,11/28/2017,3.85,8/13/2002,1848.27
3005835855,187,6/28/2007,9.34,12/30/2019,1093.5
5055093445,154,10/14/2010,7.77,2/23/2009,2080.95
4661376714,152,11/17/2007,2.05,6/28/2013,4762.75
8617218765,43,8/20/2006,6.9,8/18/2018,7272.19
3063510951,54,3/30/2000,3.52,5/28/2000,1122.98
2405256187,26,1/30/2008,9.38,3/5/2008,4774.15
3479419247,11,8/10/2009,4.02,8/26/2020,8440.07
3574161764,152,8/24/2001,1.49,9/8/2002,1274.79
8401581254,146,8/31/2005,5.63,7/16/2010,3861.31
5169984887,139,9/28/2012,0.28,2/27/2005,8960.3
5640981963,192,1/17/2013,4.03,11/2/2016,9649.53
2581111787,163,7/13/2013,7.93,12/4/2004,5154.27
8421245622,193,7/30/2007,2.08,3/26/2000,4498.26
3612048984,52,1/30/2011,4.66,1/2/2014,5633.93
5937335539,140,8/9/2019,0.02,5/10/2020,9942.18
7587772760,79,3/27/2000,1.7,11/28/2021,4960.74
9408152142,70,1/27/2009,2.39,3/4/2006,4903.38
5879611470,34,8/28/2021,0.61,3/31/2003,2778.45
6341241446,134,8/15/2010,1.58,7/10/2018,8413.44
7403545253,152,1/6/2007,8.43,4/2/2006,4311.48
6997919878,98,10/16/2004,2,6/10/2012,8254.54
7528834931,122,2/28/2011,1,3/27/2005,6750.18
2655271960,143,1/4/2003,0.75,11/23/2019,3321.6
4728259456,10,6/24/2002,6.99,8/14/2018,460.27
5416427629,111,7/9/2000,6.42,5/22/2016,943.4
8137445567,47,4/20/2011,3.44,4/29/2009,4384.1
1638988272,199,10/26/2015,3.99,1/3/2019,7578.68
8785469507,17,3/27/2000,9.44,2/26/2003,1875.14
6229144469,23,10/20/2020,3.44,9/9/2003,6107.02
2628400597,156,1/4/2012,5.81,5/8/2010,2040.05
5431376924,73,1/27/2013,1.34,4/23/2002,1622.73
4797646703,24,1/2/2005,3.24,5/3/2019,6222.69
2579890351,161,7/1/2003,2.57,4/12/2022,1223.53
9583993764,94,2/1/2002,4.04,9/23/2020,5252.21
8604300472,169,12/20/2016,4.89,6/9/2011,3867.68
2007928651,144,4/14/2019,8.72,9/6/2012,1724.22
1903502710,160,10/17/2001,6.27,5/19/2006,9599.55
4120410239,200,12/18/2001,1.06,12/16/2021,7702.76
4157964486,114,5/23/2003,9.85,3/5/2003,9265.27
1034693668,187,8/6/2022,7.81,3/26/2005,8180.02
6809262730,190,1/20/2010,8.1,3/14/2008,6400.66
6073928812,106,10/11/2019,5.32,7/13/2021,6547.2
9717835709,39,7/19/2006,6.87,5/10/2013,733.86
3782667609,47,7/28/2002,4.21,1/31/2015,1571.36
7907348475,131,3/9/2002,9.37,7/18/2014,7005.47
2594385376,129,4/25/2018,8.12,10/13/2018,8710.89
3299642041,134,6/29/2017,9.92,10/17/2022,5416.77
9256824775,149,7/9/2016,5.93,3/9/2001,140.48
2502281463,67,2/13/2008,5.25,1/16/2017,4271.74
7635113647,88,6/20/2004,4.15,10/5/2015,6307.26
7633325551,42,11/25/2016,9.79,6/23/2018,6437.65
3634867538,20,12/29/2015,9.06,8/21/2005,5675.72
4024595984,166,9/25/2005,8.18,5/22/2006,8304.38
8566208645,153,10/17/2009,1.86,9/15/2002,1193.17
1542430755,88,9/20/2020,2.98,3/13/2012,8864.07
9208781942,49,6/30/2000,1.95,9/5/2010,3734.69
6554344274,118,3/21/2013,5.6,11/8/2013,6921.07
6862959739,21,4/30/2020,3.14,6/11/2015,2211.46
7086763933,14,8/28/2018,4.83,8/23/2007,8893.66
3831849924,181,12/20/2018,0.79,8/4/2020,937.75
3042980580,72,2/11/2008,3.98,10/2/2014,4612.2
2928524294,89,7/14/2006,3.02,2/5/2012,7287.79
6920244676,111,1/7/2006,1.47,3/17/2012,3596.3
1943712055,46,1/22/2016,5.17,5/15/2012,9771.32
5456875073,175,6/21/2016,9.08,6/20/2021,8414.97
5072295115,121,10/21/2019,0.98,3/24/2011,6292.37
5341955704,174,5/1/2009,6.49,8/16/2019,6597.28
8373693940,153,1/24/2021,8.36,4/16/2020,5295.47
1444544644,17,1/25/2003,6.44,5/3/2008,9392.09
3199278903,62,12/17/2008,4.46,3/11/2018,2668.87
4219604741,125,9/21/2004,7.92,5/18/2010,3232.16
5041936609,26,5/18/2001,4.36,1/2/2006,1267.11
5093305223,67,12/1/2016,2.96,5/29/2016,6502.27
3505028541,32,11/11/2014,3.65,4/17/2007,7888.81
8296994417,131,5/3/2006,5.36,8/6/2009,8890.88
8170751009,137,4/29/2000,4.92,8/7/2012,4321.6
9660457724,126,7/28/2009,3.52,1/17/2018,8115.68
8449047271,169,5/3/2010,7.18,10/26/2002,4298.62
6235655733,175,5/20/2014,7.55,7/14/2000,5687.46
9281997616,126,6/10/2015,2.01,5/7/2005,9987.21
8434177335,124,9/20/2005,3.82,6/20/2022,2816.43
5981829826,30,11/28/2022,7.62,4/29/2002,3119.53
6758295860,18,4/2/2010,8.83,9/14/2022,5400.97
5740421801,93,12/23/2009,3.81,1/15/2011,3091.85
1020087425,171,4/28/2014,9.79,1/16/2002,4359.71
2594302808,110,3/13/2000,6.19,4/5/2022,3912.14
8843054984,49,4/1/2022,6.21,11/16/2019,2598.39
9969214541,37,12/20/2020,8.53,4/1/2007,8737.98
2417332317,137,9/11/2007,8.15,10/30/2006,701.89
7899426023,74,8/18/2006,0.27,6/17/2013,1175.19
3956122970,186,10/25/2016,4.52,2/14/2008,893.51
2302954468,162,12/27/2021,1.14,3/10/2009,6715.81
2385823973,59,9/7/2017,6.53,12/28/2002,5844.54
2521462592,41,1/13/2008,2.25,12/18/2002,8950.5
8199030347,70,10/20/2015,6.22,6/9/2002,4109.79
9035805951,185,11/12/2017,1.68,1/29/2003,3117.05
4081120928,100,6/18/2007,1.83,3/29/2015,5195.52
6007356608,155,9/16/2021,7.86,1/14/2011,6583.26
1092671497,3,7/19/2016,6.44,6/29/2009,4105.03
4439750015,154,11/16/2013,6.45,5/18/2005,1587.58
1266045625,162,6/9/2020,6.68,2/13/2006,1409.02
5545431583,57,2/26/2004,6.54,3/31/2012,8617.18
9548385318,86,12/16/2000,5.23,7/11/2014,4534.03
1304046444,70,11/12/2004,5.29,8/8/2013,2666.79
2118602377,121,6/17/2016,7.32,2/21/2021,5551.57
7466686526,11,9/4/2002,1.55,10/2/2003,8805.35
5514953528,39,10/18/2019,0.97,1/16/2004,8924.04
3417411665,32,6/21/2017,4.87,12/11/2012,3416.86
9989735402,67,10/13/2012,5.21,12/12/2015,7865.4
4915840819,68,5/17/2006,3.91,11/24/2010,3062.17
4478403671,7,11/29/2015,2.89,6/24/2010,8626.41
5076961491,33,6/14/2001,9.51,2/16/2005,7699.81
8486891897,142,9/3/2018,9.2,4/5/2010,7465.34
6161819595,63,2/2/2014,6.43,6/21/2003,4621.46
8176305764,80,2/12/2012,4.67,1/1/2010,6648.15
9601012558,82,11/27/2022,4.49,7/9/2002,2269.7
